kickoff_order,espn_event_id,stage_zh,group,beijing_datetime,beijing_date,beijing_time,beijing_weekday,home_team,home_team_zh,away_team,away_team_zh,fixture,fixture_zh,home_score,away_score,result,status_state,status_zh,status_detail,venue,city,country,utc_datetime
88,760501,1/16决赛,,2026-07-04T09:30:00+08:00,2026-07-04,09:30,周六,Colombia,哥伦比亚,Ghana,加纳,Colombia vs Ghana,哥伦比亚 vs 加纳,,,,pre,未开赛,"Fri, July 3rd at 9:30 PM EDT",GEHA Field at Arrowhead Stadium,"Kansas City, Missouri",USA,2026-07-04T01:30Z
89,760502,1/8决赛,,2026-07-05T01:00:00+08:00,2026-07-05,01:00,周日,Canada,加拿大,Round of 32 3 Winner,1/16决赛第3场胜者,Canada vs Round of 32 3 Winner,加拿大 vs 1/16决赛第3场胜者,,,,pre,未开赛,"Sat, July 4th at 1:00 PM EDT",NRG Stadium,"Houston, Texas",USA,2026-07-04T17:00Z
90,760503,1/8决赛,,2026-07-05T05:00:00+08:00,2026-07-05,05:00,周日,Paraguay,巴拉圭,Round of 32 5 Winner,1/16决赛第5场胜者,Paraguay vs Round of 32 5 Winner,巴拉圭 vs 1/16决赛第5场胜者,,,,pre,未开赛,"Sat, July 4th at 5:00 PM EDT",Lincoln Financial Field,"Philadelphia, Pennsylvania",USA,2026-07-04T21:00Z
91,760504,1/8决赛,,2026-07-06T04:00:00+08:00,2026-07-06,04:00,周一,Brazil,巴西,Round of 32 6 Winner,1/16决赛第6场胜者,Brazil vs Round of 32 6 Winner,巴西 vs 1/16决赛第6场胜者,,,,pre,未开赛,"Sun, July 5th at 4:00 PM EDT",MetLife Stadium,"East Rutherford, New Jersey",USA,2026-07-05T20:00Z
92,760505,1/8决赛,,2026-07-06T08:00:00+08:00,2026-07-06,08:00,周一,Round of 32 7 Winner,1/16决赛第7场胜者,Round of 32 8 Winner,1/16决赛第8场胜者,Round of 32 7 Winner vs Round of 32 8 Winner,1/16决赛第7场胜者 vs 1/16决赛第8场胜者,,,,pre,未开赛,"Sun, July 5th at 8:00 PM EDT",Estadio Banorte,Mexico City,Mexico,2026-07-06T00:00Z
93,760506,1/8决赛,,2026-07-07T03:00:00+08:00,2026-07-07,03:00,周二,Round of 32 11 Winner,1/16决赛第11场胜者,Round of 32 12 Winner,1/16决赛第12场胜者,Round of 32 11 Winner vs Round of 32 12 Winner,1/16决赛第11场胜者 vs 1/16决赛第12场胜者,,,,pre,未开赛,"Mon, July 6th at 3:00 PM EDT",AT&T Stadium,"Arlington, Texas",USA,2026-07-06T19:00Z
94,760507,1/8决赛,,2026-07-07T08:00:00+08:00,2026-07-07,08:00,周二,Round of 32 9 Winner,1/16决赛第9场胜者,Round of 32 10 Winner,1/16决赛第10场胜者,Round of 32 9 Winner vs Round of 32 10 Winner,1/16决赛第9场胜者 vs 1/16决赛第10场胜者,,,,pre,未开赛,"Mon, July 6th at 8:00 PM EDT",Lumen Field,"Seattle, Washington",USA,2026-07-07T00:00Z
95,760509,1/8决赛,,2026-07-08T00:00:00+08:00,2026-07-08,00:00,周三,Round of 32 14 Winner,1/16决赛第14场胜者,Round of 32 16 Winner,1/16决赛第16场胜者,Round of 32 14 Winner vs Round of 32 16 Winner,1/16决赛第14场胜者 vs 1/16决赛第16场胜者,,,,pre,未开赛,"Tue, July 7th at 12:00 PM EDT",Mercedes-Benz Stadium,"Atlanta, Georgia",USA,2026-07-07T16:00Z
96,760508,1/8决赛,,2026-07-08T04:00:00+08:00,2026-07-08,04:00,周三,Round of 32 13 Winner,1/16决赛第13场胜者,Round of 32 15 Winner,1/16决赛第15场胜者,Round of 32 13 Winner vs Round of 32 15 Winner,1/16决赛第13场胜者 vs 1/16决赛第15场胜者,,,,pre,未开赛,"Tue, July 7th at 4:00 PM EDT",BC Place,Vancouver,Canada,2026-07-07T20:00Z
97,760510,1/4决赛,,2026-07-10T04:00:00+08:00,2026-07-10,04:00,周五,Round of 16 1 Winner,1/8决赛第1场胜者,Round of 16 2 Winner,1/8决赛第2场胜者,Round of 16 1 Winner vs Round of 16 2 Winner,1/8决赛第1场胜者 vs 1/8决赛第2场胜者,,,,pre,未开赛,"Thu, July 9th at 4:00 PM EDT",Gillette Stadium,"Foxborough, Massachusetts",USA,2026-07-09T20:00Z
